Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2016-0157,2016,Diciembre,3,Sábado,6,1
2016-0159,2016,Diciembre,4,Domingo,7,1
2016-0160,2016,Diciembre,6,Martes,5,1
2016-0161,2016,Diciembre,6,Martes,7,1
2016-0162,2016,Diciembre,7,Miércoles,5,1
2016-0163,2016,Diciembre,10,Sábado,7,1
2016-0164,2016,Diciembre,11,Domingo,6,1
2016-0165,2016,Diciembre,12,Lunes,8,1
2016-0168,2016,Diciembre,13,Martes,10,1
2016-0169,2016,Diciembre,15,Jueves,15,1
2016-0170,2016,Diciembre,19,Lunes,17,1
2016-0171,2016,Diciembre,25,Domingo,19,1
2016-0172,2016,Diciembre,26,Lunes,8,1
2016-0173,2016,Diciembre,26,Lunes,19,1
2016-0174,2016,Diciembre,27,Martes,0,1
2016-0175,2016,Diciembre,27,Martes,8,1
2016-0176,2016,Diciembre,28,Miércoles,1,1
2016-0177,2016,Diciembre,29,Jueves,4,1
2016-0178,2016,Diciembre,30,Viernes,16,1
2017-0001,2017,Enero,2,Lunes,1,1
2017-0003,2017,Enero,5,Jueves,3,1
2017-0007,2017,Enero,11,Miércoles,17,1
2017-0008,2017,Enero,16,Lunes,0,1
2017-0009,2017,Enero,16,Lunes,13,1
2017-0010,2017,Enero,16,Lunes,16,1
2017-0011,2017,Enero,22,Domingo,2,1
2017-0012,2017,Enero,24,Martes,14,1
2017-0013,2017,Enero,27,Viernes,7,1
2017-0014,2017,Enero,28,Sábado,8,1
2017-0015,2017,Febrero,2,Jueves,15,1
2017-0016,2017,Febrero,3,Viernes,5,1
2017-0017,2017,Febrero,6,Lunes,8,1
2017-0018,2017,Febrero,9,Jueves,7,1
2017-0021,2017,Febrero,18,Sábado,5,1
2017-0024,2017,Febrero,23,Jueves,20,1
2017-0025,2017,Febrero,24,Viernes,17,1
2017-0026,2017,Febrero,26,Domingo,5,1
2017-0026,2017,Febrero,26,Domingo,5,1
2017-0027,2017,Febrero,26,Domingo,21,1
2017-0028,2017,Febrero,28,Martes,9,1
2017-0029,2017,Marzo,7,Martes,2,2
2017-0030,2017,Marzo,7,Martes,8,2
2017-0031,2017,Marzo,11,Sábado,1,2
2017-0032,2017,Marzo,12,Domingo,5,2
2017-0033,2017,Marzo,12,Domingo,7,2
2017-0034,2017,Marzo,13,Lunes,7,2
2017-0035,2017,Marzo,23,Jueves,5,2
2017-0035,2017,Marzo,23,Jueves,5,2
2017-0035,2017,Marzo,23,Jueves,5,2
2017-0036,2017,Marzo,29,Miércoles,18,2
2017-0036,2017,Marzo,29,Miércoles,18,2
2017-0037,2017,Marzo,31,Viernes,3,2
2017-0038,2017,Abril,1,Sábado,19,2
2017-0040,2017,Abril,3,Lunes,9,2
2017-0041,2017,Abril,3,Lunes,23,2
2017-0042,2017,Abril,10,Lunes,9,2
2017-0045,2017,Abril,14,Viernes,6,2
2017-0047,2017,Abril,23,Domingo,6,2
2017-0049,2017,Abril,27,Jueves,18,2
2017-0050,2017,Abril,28,Viernes,11,2
2017-0050,2017,Abril,28,Viernes,11,2
2017-0051,2017,Mayo,1,Lunes,3,2
2017-0052,2017,Mayo,5,Viernes,3,2
2017-0053,2017,Mayo,5,Viernes,20,2
2017-0054,2017,Mayo,7,Domingo,21,2
2017-0055,2017,Mayo,9,Martes,8,2
2017-0058,2017,Mayo,9,Martes,23,2
2017-0059,2017,Mayo,11,Jueves,9,2
2017-0060,2017,Mayo,13,Sábado,7,2
2017-0061,2017,Mayo,15,Lunes,13,2
2017-0062,2017,Mayo,15,Lunes,16,2
2017-0063,2017,Mayo,17,Miércoles,10,2
2017-0064,2017,Mayo,20,Sábado,5,2
2017-0065,2017,Mayo,22,Lunes,16,2
2017-0066,2017,Mayo,22,Lunes,18,2
2017-0067,2017,Mayo,23,Martes,2,2
2017-0068,2017,Mayo,27,Sábado,19,2
2017-0069,2017,Mayo,24,Miércoles,14,2
2017-0070,2017,Mayo,30,Martes,13,2
2017-0072,2017,Junio,3,Sábado,23,3
2017-0073,2017,Junio,4,Domingo,9,3
2017-0074,2017,Junio,4,Domingo,12,3
2017-0075,2017,Junio,12,Lunes,22,3
2017-0076,2017,Junio,13,Martes,14,3
2017-0077,2017,Junio,17,Sábado,23,3
2017-0079,2017,Junio,19,Lunes,16,3
2017-0080,2017,Junio,22,Jueves,10,3
2017-0082,2017,Junio,25,Domingo,22,3
2017-0083,2017,Julio,4,Martes,0,3
2017-0084,2017,Julio,5,Miércoles,12,3
2017-0085,2017,Julio,7,Viernes,14,3
2017-0086,2017,Julio,9,Domingo,7,3
2017-0087,2017,Julio,10,Lunes,10,3
2017-0088,2017,Julio,10,Lunes,22,3
2017-0089,2017,Julio,13,Jueves,12,3
2017-0090,2017,Julio,15,Sábado,5,3
2017-0091,2017,Julio,15,Sábado,13,3
2017-0092,2017,Julio,24,Lunes,22,3
2017-0093,2017,Julio,25,Martes,16,3
2017-0094,2017,Julio,27,Jueves,8,3
2017-0095,2017,Agosto,6,Domingo,8,3
2017-0096,2017,Agosto,7,Lunes,19,3
2017-0098,2017,Agosto,8,Martes,12,3
2017-0099,2017,Agosto,17,Jueves,19,3
2017-0100,2017,Agosto,21,Lunes,7,3
2017-0101,2017,Agosto,23,Miércoles,10,3
2017-0102,2017,Agosto,24,Jueves,1,3
2017-0104,2017,Agosto,25,Viernes,9,3
2017-0106,2017,Agosto,31,Jueves,19,3
2017-0107,2017,Septiembre,1,Viernes,11,4
2017-0108,2017,Septiembre,2,Sábado,4,4
2017-0108,2017,Septiembre,2,Sábado,4,4
2017-0109,2017,Septiembre,4,Lunes,21,4
2017-0110,2017,Septiembre,6,Miércoles,14,4
2017-0111,2017,Septiembre,7,Jueves,18,4
2017-0112,2017,Septiembre,10,Domingo,9,4
2017-0112,2017,Septiembre,10,Domingo,9,4
2017-0113,2017,Septiembre,11,Lunes,6,4
2017-0114,2017,Septiembre,15,Viernes,2,4
2017-0115,2017,Septiembre,19,Martes,18,4
2017-0116,2017,Septiembre,20,Miércoles,22,4
2017-0118,2017,Septiembre,22,Viernes,7,4
2017-0120,2017,Octubre,2,Lunes,15,4
2017-0123,2017,Octubre,10,Martes,1,4
2017-0124,2017,Octubre,12,Jueves,14,4
2017-0125,2017,Octubre,13,Viernes,6,4
2017-0126,2017,Octubre,14,Sábado,6,4
2017-0126,2017,Octubre,14,Sábado,6,4
2017-0127,2017,Octubre,16,Lunes,7,4
2017-0128,2017,Octubre,17,Martes,12,4
2017-0129,2017,Octubre,26,Jueves,19,4
2017-0130,2017,Octubre,27,Viernes,5,4
2017-0132,2017,Octubre,30,Lunes,14,4
2017-0134,2017,Noviembre,6,Lunes,18,4
2017-0135,2017,Noviembre,7,Martes,12,4
2017-0136,2017,Noviembre,16,Jueves,8,4
2017-0137,2017,Noviembre,17,Viernes,11,4
2017-0138,2017,Noviembre,19,Domingo,10,4
2017-0139,2017,Noviembre,19,Domingo,22,4
2017-0140,2017,Noviembre,19,Domingo,23,4
2017-0141,2017,Noviembre,23,Jueves,19,4
2017-0143,2017,Noviembre,25,Sábado,21,4
2017-0144,2017,Noviembre,26,Domingo,6,4
2017-0145,2017,Noviembre,26,Domingo,17,4
2017-0147,2017,Noviembre,28,Martes,11,4
2017-0148,2017,Noviembre,29,Miércoles,10,4
2017-0149,2017,Noviembre,30,Jueves,12,4
2017-0150,2017,Diciembre,4,Lunes,1,1
2017-0151,2017,Diciembre,4,Lunes,2,1
2017-0152,2017,Diciembre,6,Miércoles,17,1
2017-0153,2017,Diciembre,11,Lunes,2,1
2017-0153,2017,Diciembre,11,Lunes,2,1
2017-0154,2017,Diciembre,11,Lunes,9,1
2017-0155,2017,Diciembre,12,Martes,21,1
2017-0157,2017,Diciembre,17,Domingo,9,1
2017-0158,2017,Diciembre,18,Lunes,21,1
2017-0159,2017,Diciembre,20,Miércoles,4,1
2017-0160,2017,Diciembre,22,Viernes,13,1
2017-0161,2017,Diciembre,26,Martes,15,1
2018-0001,2018,Enero,1,Lunes,22,1
2018-0002,2018,Enero,3,Miércoles,16,1
2018-0003,2018,Enero,5,Viernes,10,1
2018-0004,2018,Enero,9,Martes,9,1
2018-0005,2018,Enero,9,Martes,22,1
2018-0006,2018,Enero,10,Miércoles,21,1
2018-0007,2018,Enero,11,Jueves,2,1
2018-0008,2018,Enero,12,Viernes,17,1
2018-0009,2018,Enero,14,Domingo,2,1
2018-0010,2018,Enero,18,Jueves,5,1
2018-0011,2018,Enero,19,Viernes,10,1
2018-0012,2018,Enero,26,Viernes,13,1
2018-0013,2018,Enero,28,Domingo,8,1
2018-0014,2018,Enero,31,Miércoles,20,1
2018-0015,2018,Febrero,6,Martes,1,1
2018-0015,2018,Febrero,6,Martes,1,1
2018-0016,2018,Febrero,15,Jueves,10,1
2018-0017,2018,Febrero,17,Sábado,4,1
2018-0018,2018,Febrero,17,Sábado,7,1
2018-0019,2018,Febrero,17,Sábado,12,1
2018-0020,2018,Febrero,19,Lunes,22,1
2018-0021,2018,Febrero,22,Jueves,10,1
2018-0022,2018,Febrero,24,Sábado,0,1
2018-0023,2018,Febrero,24,Sábado,6,1
2018-0024,2018,Febrero,28,Miércoles,23,1
2018-0025,2018,Marzo,4,Domingo,22,2
2018-0026,2018,Marzo,9,Viernes,4,2
2018-0026,2018,Marzo,9,Viernes,4,2
2018-0027,2018,Marzo,11,Domingo,23,2
2018-0028,2018,Marzo,13,Martes,15,2
2018-0029,2018,Marzo,15,Jueves,18,2
2018-0030,2018,Marzo,20,Martes,1,2
2018-0031,2018,Marzo,28,Miércoles,10,2
2018-0032,2018,Abril,2,Lunes,13,2
2018-0033,2018,Abril,7,Sábado,7,2
2018-0034,2018,Abril,11,Miércoles,18,2
2018-0035,2018,Abril,12,Jueves,16,2
2018-0036,2018,Abril,13,Viernes,23,2
2018-0037,2018,Abril,18,Miércoles,18,2
2018-0038,2018,Abril,20,Viernes,17,2
2018-0038,2018,Abril,20,Viernes,17,2
2018-0039,2018,Abril,21,Sábado,22,2
2018-0040,2018,Abril,27,Viernes,11,2
2018-0041,2018,Abril,27,Viernes,13,2
2018-0042,2018,Abril,27,Viernes,18,2
2018-0043,2018,Abril,28,Sábado,6,2
2018-0044,2018,Abril,28,Sábado,9,2
2018-0045,2018,Abril,30,Lunes,7,2
