Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2020-0014,2020,Febrero,27,Jueves,2,1
2020-0015,2020,Febrero,28,Viernes,14,1
2020-0016,2020,Febrero,29,Sábado,13,1
2020-0017,2020,Marzo,5,Jueves,23,2
2020-0018,2020,Marzo,9,Lunes,14,2
2020-0019,2020,Marzo,10,Martes,21,2
2020-0020,2020,Marzo,13,Viernes,17,2
2020-0021,2020,Marzo,14,Sábado,16,2
2020-0022,2020,Abril,7,Martes,6,2
2020-0023,2020,Abril,9,Jueves,18,2
2020-0024,2020,Abril,24,Viernes,7,2
2020-0025,2020,Mayo,12,Martes,5,2
2020-0026,2020,Mayo,17,Domingo,6,2
2020-0027,2020,Mayo,18,Lunes,8,2
2020-0028,2020,Mayo,19,Martes,10,2
2020-0029,2020,Junio,10,Miércoles,14,3
2020-0030,2020,Junio,16,Martes,15,3
2020-0031,2020,Junio,30,Martes,8,3
2020-0032,2020,Julio,10,Viernes,23,3
2020-0033,2020,Julio,19,Domingo,6,3
2020-0034,2020,Agosto,2,Domingo,3,3
2020-0035,2020,Agosto,4,Martes,5,3
2020-0036,2020,Agosto,7,Viernes,18,3
2020-0037,2020,Agosto,29,Sábado,4,3
2020-0038,2020,Agosto,30,Domingo,4,3
2020-0038,2020,Agosto,30,Domingo,4,3
2020-0039,2020,Septiembre,1,Martes,19,4
2020-0040,2020,Septiembre,12,Sábado,3,4
2020-0041,2020,Septiembre,28,Lunes,1,4
2020-0042,2020,Septiembre,29,Martes,17,4
2020-0043,2020,Septiembre,30,Miércoles,17,4
2020-0044,2020,Octubre,5,Lunes,0,4
2020-0045,2020,Octubre,19,Lunes,3,4
2020-0046,2020,Octubre,27,Martes,21,4
2020-0047,2020,Octubre,27,Martes,14,4
2020-0048,2020,Octubre,29,Jueves,20,4
2020-0049,2020,Octubre,30,Viernes,20,4
2020-0050,2020,Noviembre,1,Domingo,22,4
2020-0051,2020,Noviembre,5,Jueves,0,4
2020-0052,2020,Noviembre,7,Sábado,6,4
2020-0053,2020,Noviembre,9,Lunes,3,4
2020-0054,2020,Noviembre,19,Jueves,9,4
2020-0055,2020,Noviembre,19,Jueves,12,4
2020-0056,2020,Noviembre,21,Sábado,13,4
2020-0057,2020,Noviembre,23,Lunes,7,4
2020-0058,2020,Noviembre,24,Martes,16,4
2020-0059,2020,Diciembre,1,Martes,6,1
2020-0060,2020,Diciembre,3,Jueves,20,1
2020-0061,2020,Diciembre,3,Jueves,14,1
2020-0062,2020,Diciembre,4,Viernes,17,1
2020-0063,2020,Diciembre,5,Sábado,7,1
2020-0063,2020,Diciembre,5,Sábado,7,1
2020-0065,2020,Diciembre,5,Sábado,16,1
2020-0066,2020,Diciembre,7,Lunes,4,1
2020-0067,2020,Diciembre,11,Viernes,22,1
2020-0068,2020,Diciembre,12,Sábado,20,1
2020-0069,2020,Diciembre,15,Martes,5,1
2020-0070,2020,Diciembre,17,Jueves,15,1
2020-0071,2020,Diciembre,17,Jueves,23,1
2020-0072,2020,Diciembre,19,Sábado,3,1
2020-0073,2020,Diciembre,20,Domingo,7,1
2020-0074,2020,Diciembre,20,Domingo,21,1
2020-0075,2020,Diciembre,23,Miércoles,14,1
2020-0076,2020,Diciembre,24,Jueves,12,1
2020-0077,2020,Diciembre,25,Viernes,6,1
2020-0077,2020,Diciembre,25,Viernes,6,1
2020-0078,2020,Diciembre,25,Viernes,5,1
2020-0079,2020,Diciembre,27,Domingo,4,1
2021-0001,2021,Enero,6,Miércoles,18,1
2021-0002,2021,Enero,7,Jueves,10,1
2021-0003,2021,Enero,10,Domingo,7,1
2021-0004,2021,Enero,11,Lunes,9,1
2021-0005,2021,Enero,11,Lunes,21,1
2021-0006,2021,Enero,12,Martes,21,1
2021-0007,2021,Enero,18,Lunes,10,1
2021-0008,2021,Enero,22,Viernes,23,1
2021-0009,2021,Enero,23,Sábado,5,1
2021-0010,2021,Enero,23,Sábado,8,1
2021-0011,2021,Enero,27,Miércoles,1,1
2021-0012,2021,Enero,29,Viernes,20,1
2021-0013,2021,Enero,31,Domingo,6,1
2021-0014,2021,Febrero,2,Martes,0,1
2021-0015,2021,Febrero,6,Sábado,3,1
2021-0016,2021,Febrero,14,Domingo,5,1
2021-0017,2021,Febrero,17,Miércoles,4,1
2021-0018,2021,Febrero,20,Sábado,19,1
2021-0019,2021,Febrero,21,Domingo,1,1
2021-0020,2021,Febrero,21,Domingo,15,1
2021-0021,2021,Febrero,26,Viernes,5,1
2021-0022,2021,Febrero,28,Domingo,12,1
2021-0023,2021,Marzo,1,Lunes,9,2
2021-0024,2021,Marzo,3,Miércoles,16,2
2021-0025,2021,Marzo,11,Jueves,3,2
2021-0026,2021,Marzo,15,Lunes,2,2
2021-0027,2021,Marzo,16,Martes,15,2
2021-0028,2021,Marzo,29,Lunes,17,2
2021-0029,2021,Marzo,31,Miércoles,18,2
2021-0030,2021,Abril,3,Sábado,18,2
2021-0031,2021,Abril,7,Miércoles,10,2
2021-0032,2021,Abril,10,Sábado,19,2
2021-0033,2021,Abril,14,Miércoles,17,2
2021-0034,2021,Abril,19,Lunes,14,2
2021-0035,2021,Mayo,3,Lunes,9,2
2021-0036,2021,Mayo,9,Domingo,6,2
2021-0037,2021,Mayo,11,Martes,7,2
2021-0038,2021,Mayo,14,Viernes,11,2
2021-0039,2021,Mayo,15,Sábado,12,2
2021-0040,2021,Mayo,20,Jueves,5,2
2021-0041,2021,Mayo,20,Jueves,8,2
2021-0042,2021,Mayo,21,Viernes,5,2
2021-0043,2021,Mayo,22,Sábado,18,2
2021-0044,2021,Mayo,25,Martes,2,2
2021-0045,2021,Mayo,26,Miércoles,17,2
2021-0046,2021,Mayo,31,Lunes,2,2
2021-0047,2021,Junio,2,Miércoles,16,3
2021-0048,2021,Junio,3,Jueves,9,3
2021-0049,2021,Junio,3,Jueves,20,3
2021-0050,2021,Junio,10,Jueves,13,3
2021-0051,2021,Junio,15,Martes,19,3
2021-0052,2021,Junio,20,Domingo,5,3
2021-0053,2021,Junio,20,Domingo,12,3
2021-0054,2021,Junio,22,Martes,14,3
2021-0055,2021,Junio,29,Martes,12,3
2021-0056,2021,Julio,9,Viernes,23,3
2021-0057,2021,Julio,10,Sábado,23,3
2021-0058,2021,Julio,21,Miércoles,0,3
2021-0059,2021,Julio,22,Jueves,1,3
2021-0060,2021,Julio,22,Jueves,12,3
2021-0061,2021,Julio,24,Sábado,9,3
2021-0062,2021,Julio,27,Martes,7,3
2021-0063,2021,Agosto,2,Lunes,4,3
2021-0064,2021,Agosto,2,Lunes,20,3
2021-0065,2021,Agosto,6,Viernes,8,3
2021-0066,2021,Agosto,6,Viernes,20,3
2021-0067,2021,Agosto,8,Domingo,9,3
2021-0068,2021,Agosto,15,Domingo,6,3
2021-0069,2021,Agosto,20,Viernes,17,3
2021-0070,2021,Agosto,28,Sábado,8,3
2021-0071,2021,Agosto,31,Martes,16,3
2021-0072,2021,Septiembre,1,Miércoles,19,4
2021-0073,2021,Septiembre,18,Sábado,12,4
2021-0074,2021,Septiembre,20,Lunes,15,4
2021-0075,2021,Septiembre,21,Martes,14,4
2021-0076,2021,Octubre,16,Sábado,6,4
2021-0077,2021,Octubre,18,Lunes,7,4
2021-0078,2021,Octubre,23,Sábado,6,4
2021-0079,2021,Octubre,25,Lunes,3,4
2021-0080,2021,Octubre,28,Jueves,16,4
2021-0081,2021,Noviembre,2,Martes,13,4
2021-0082,2021,Noviembre,6,Sábado,4,4
2021-0083,2021,Noviembre,9,Martes,0,4
2021-0084,2021,Noviembre,11,Jueves,3,4
2021-0085,2021,Noviembre,20,Sábado,18,4
2021-0086,2021,Noviembre,25,Jueves,10,4
2021-0087,2021,Noviembre,27,Sábado,11,4
2021-0088,2021,Diciembre,1,Miércoles,15,1
2021-0089,2021,Diciembre,2,Jueves,1,1
2021-0090,2021,Diciembre,10,Viernes,11,1
2021-0091,2021,Diciembre,11,Sábado,23,1
2021-0092,2021,Diciembre,12,Domingo,6,1
2021-0093,2021,Diciembre,13,Lunes,17,1
2021-0094,2021,Diciembre,20,Lunes,1,1
2021-0095,2021,Diciembre,30,Jueves,0,1
2021-0096,2021,Diciembre,15,Miércoles,10,1
2021-0097,2021,Noviembre,18,Jueves,6,4
