Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2016-0026,1,2016-02-28,2016,Febrero,28,Domingo,Verano,07:30:00,7,HOLMBERG Y VEDIA,CALLE,HOLMBERG,True,Comuna 12,Saavedra,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,26-40
2016-0027,1,2016-02-28,2016,Febrero,28,Domingo,Verano,09:35:00,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,True,Comuna 7,Parque Chacabuco,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,26-40
2016-0028,1,2016-03-02,2016,Marzo,2,Miércoles,Otoño,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,True,Comuna 1,San Nicolas,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,50,41-60
2016-0029,1,2016-03-04,2016,Marzo,4,Viernes,Otoño,17:30:00,17,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,True,Comuna 12,Nuñez,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38,26-40
2016-0031,1,2016-03-08,2016,Marzo,8,Martes,Otoño,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 8,Villa Riachuelo,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,19-25
2016-0034,1,2016-03-12,2016,Marzo,12,Sábado,Otoño,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",True,Comuna 4,Nueva Pompeya,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,52,41-60
2016-0035,1,2016-03-13,2016,Marzo,13,Domingo,Otoño,06:00:00,6,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,True,Comuna 1,San Nicolas,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34,26-40
2016-0036,1,2016-03-14,2016,Marzo,14,Lunes,Otoño,00:15:00,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,True,Comuna 4,Barracas,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,36,26-40
2016-0037,1,2016-03-19,2016,Marzo,19,Sábado,Otoño,11:00:00,11,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,True,Comuna 7,Flores,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,20,19-25
2016-0038,1,2016-03-21,2016,Marzo,21,Lunes,Otoño,08:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,29,26-40
2016-0039,1,2016-03-23,2016,Marzo,23,Miércoles,Otoño,01:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",True,Comuna 3,Balvanera,-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20,19-25
2016-0041,2,2016-03-29,2016,Marzo,29,Martes,Otoño,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,True,Comuna 7,Flores,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,54,41-60
2016-0041,2,2016-03-29,2016,Marzo,29,Martes,Otoño,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,True,Comuna 7,Flores,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,53,41-60
2016-0043,1,2016-03-30,2016,Marzo,30,Miércoles,Otoño,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",True,Comuna 8,Villa Lugano,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,56,41-60
2016-0044,1,2016-03-31,2016,Marzo,31,Jueves,Otoño,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",True,Comuna 7,Parque Chacabuco,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,24,19-25
2016-0045,1,2016-04-11,2016,Abril,11,Lunes,Otoño,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.46743471,-34.53476874,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,16,0-18
2016-0047,1,2016-04-15,2016,Abril,15,Viernes,Otoño,05:30:00,5,LIMA 1483,CALLE,LIMA,False,Comuna 1,Constitucion,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,41,41-60
2016-0048,1,2016-04-15,2016,Abril,15,Viernes,Otoño,17:40:00,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,True,Comuna 15,Chacarita,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,73,61+
2016-0049,1,2016-04-17,2016,Abril,17,Domingo,Otoño,00:00:00,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,Comuna 4,Barracas,-58.37714647568196,-34.63657525428238,SD-SD,SD,SD,CONDUCTOR,MASCULINO,62,61+
2016-0050,1,2016-04-19,2016,Abril,19,Martes,Otoño,09:50:00,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO",True,Comuna 8,Villa Riachuelo,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,78,61+
2016-0051,1,2016-04-20,2016,Abril,20,Miércoles,Otoño,04:00:00,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",True,Comuna 4,Nueva Pompeya,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,36,26-40
2016-0052,1,2016-04-20,2016,Abril,20,Miércoles,Otoño,20:00:00,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",False,Comuna 0,Límite o Afueras,0.0,0.0,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,22,19-25
2016-0053,1,2016-04-22,2016,Abril,22,Viernes,Otoño,09:30:00,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,True,Comuna 12,Villa Urquiza,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38,26-40
2016-0054,1,2016-04-23,2016,Abril,23,Sábado,Otoño,21:00:00,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,Comuna 0,Límite o Afueras,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30,26-40
2016-0055,1,2016-04-25,2016,Abril,25,Lunes,Otoño,20:30:00,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL",True,Comuna 14,Palermo,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,79,61+
2016-0056,1,2016-04-26,2016,Abril,26,Martes,Otoño,04:45:00,4,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",False,Comuna 14,Palermo,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,26,26-40
