Hechos_Id,Número De Victimas,Fecha,Hora,Lugar Del Hecho,Cruce_Id,Tipo_Calle_Id,Comuna_Id,Participantes_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Rango_Etario_Id,Edad
2016-0065,1,2016-05-20,14:40:00,AV GAONA Y ESPINOSA,1,1,6,7,3,1,3,1,2,20
2016-0067,1,2016-05-21,17:00:00,AV LISANDRO DE LA TORRE Y SARAZA,1,1,8,4,1,2,2,2,3,30
2016-0068,1,2016-05-22,22:00:00,AV FIGUEROA ALCORTA Y AV PUEYRREDON,1,1,2,4,1,2,1,1,4,58
2016-0069,1,2016-05-23,03:30:00,AV ENTRE RIOS Y PASAJE FILIBERTO,1,1,1,16,2,5,1,1,3,30
2016-0073,1,2016-06-11,15:00:00,MAGARIÑOS CERVANTES 3900,2,3,10,6,1,5,1,1,2,23
2016-0074,1,2016-06-12,06:40:00,AV GRAL PAZ Y RODOLFO SCAPINO,1,2,0,10,2,1,1,1,5,60
2016-0075,1,2016-06-12,23:13:00,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,1,4,8,7,3,1,3,1,4,42
2016-0076,1,2016-06-13,16:20:00,AV SAN MARTIN Y CAMARONES,1,1,15,9,3,2,3,2,4,53
2016-0077,1,2016-06-13,21:52:00,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,1,1,1,9,3,2,3,2,5,76
2016-0078,1,2016-06-13,23:01:00,AV BELGRANO Y AV JUJUY,1,1,3,13,1,6,1,1,3,30
2016-0079,1,2016-06-16,17:13:00,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,1,1,13,10,2,1,1,2,4,51
2016-0080,1,2016-06-18,06:42:00,AV GRAL PAZ Y AV RIVADAVIA,1,2,9,17,2,0,1,1,5,60
2016-0081,1,2016-06-22,07:42:00,AV CRISOLOGO LARRALDE Y MACHAIN,1,1,12,1,1,1,1,1,4,40
2016-0082,1,2016-06-27,18:24:00,AV LA PLATA 2384,2,1,4,7,3,1,3,1,5,87
2016-0083,1,2016-06-28,20:46:00,AV JUAN B ALBERDI Y PUAN,1,1,6,8,3,6,3,2,5,76
2016-0084,1,2016-06-29,22:00:00,CARLOS PELLEGRINI Y TUCUMAN,1,3,1,9,3,2,3,1,4,57
2016-0085,1,2016-06-29,22:00:00,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,1,1,4,18,1,8,1,1,5,76
2016-0086,1,2016-06-30,16:10:00,AV OLIVERA Y RAMON FALCON,1,1,10,9,3,2,3,1,5,75
2016-0087,1,2016-07-02,00:10:00,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,2,4,4,5,1,4,1,1,2,23
2016-0088,1,2016-07-11,15:30:00,CERETTI Y NUÑEZ,1,3,12,7,3,1,3,2,5,70
2016-0089,1,2016-07-14,06:40:00,AV LUGONES Y LA PAMPA,1,4,13,7,3,1,3,1,3,35
2016-0090,1,2016-07-14,22:00:00,JERONIMO SALGUERO Y AV RIVADAVIA,1,1,5,9,3,2,3,1,5,60
2016-0092,1,2016-07-15,11:00:00,AV GRAL PAZ Y AV LIBERTADOR ,1,2,0,6,1,5,1,1,2,24
2016-0093,1,2016-07-17,03:30:00,AV JUAN B ALBERDI Y EMILIO MITRE,1,1,6,10,2,1,1,1,3,35
2016-0095,1,2016-07-23,06:12:00,MERCEDES Y AV GRAL MOSCONI,1,1,11,1,1,1,1,1,3,29
2016-0096,1,2016-07-25,07:00:00,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",2,4,8,6,1,5,1,1,3,25
2016-0097,1,2016-07-26,18:45:00,SOLIS Y MEXICO,1,3,1,7,3,1,3,1,5,80
2016-0098,1,2016-07-27,16:08:00,AV SAN JUAN Y ALBERTI,1,1,3,6,1,5,1,2,4,43
