Hechos_Id,Rol,Sexo,Edad,Rango Etario
2016-0144,PEATON,MASCULINO,83,61+
2016-0145,CONDUCTOR,MASCULINO,39,26-40
2016-0146,PEATON,FEMENINO,29,26-40
2016-0147,PASAJERO_ACOMPAÑANTE,MASCULINO,55,41-60
2016-0148,CONDUCTOR,MASCULINO,3,0-18
2016-0150,PASAJERO_ACOMPAÑANTE,MASCULINO,41,41-60
2016-0151,PEATON,MASCULINO,31,26-40
2016-0152,CONDUCTOR,MASCULINO,42,41-60
2016-0153,PEATON,FEMENINO,83,61+
2016-0154,CONDUCTOR,MASCULINO,38,26-40
2016-0155,PEATON,FEMENINO,29,26-40
2016-0156,CONDUCTOR,MASCULINO,23,19-25
2016-0157,CONDUCTOR,MASCULINO,23,19-25
2016-0159,CONDUCTOR,MASCULINO,23,19-25
2016-0160,CONDUCTOR,MASCULINO,29,26-40
2016-0161,PEATON,MASCULINO,50,41-60
2016-0162,PEATON,MASCULINO,38,26-40
2016-0163,CONDUCTOR,MASCULINO,23,19-25
2016-0164,CONDUCTOR,MASCULINO,29,26-40
2016-0165,CICLISTA,MASCULINO,37,26-40
2016-0168,CONDUCTOR,MASCULINO,43,41-60
2016-0169,CONDUCTOR,MASCULINO,24,19-25
2016-0170,PASAJERO_ACOMPAÑANTE,MASCULINO,21,19-25
2016-0171,CONDUCTOR,MASCULINO,39,26-40
2016-0172,CONDUCTOR,MASCULINO,38,26-40
2016-0173,CONDUCTOR,MASCULINO,35,26-40
2016-0174,CONDUCTOR,MASCULINO,3,0-18
2016-0175,PEATON,FEMENINO,65,61+
2016-0176,CONDUCTOR,MASCULINO,28,26-40
2016-0177,PEATON,FEMENINO,27,26-40
2016-0178,PEATON,FEMENINO,7,0-18
2017-0001,CONDUCTOR,MASCULINO,18,19-25
2017-0003,PASAJERO_ACOMPAÑANTE,MASCULINO,33,26-40
2017-0007,PEATON,MASCULINO,48,41-60
2017-0008,CONDUCTOR,MASCULINO,29,26-40
