Hechos_Id,Rol,Sexo,Edad,Rango Etario
2019-0068,CONDUCTOR,MASCULINO,53,41-60
2019-0069,CONDUCTOR,MASCULINO,43,41-60
2019-0070,CONDUCTOR,MASCULINO,25,26-40
2019-0071,PEATON,MASCULINO,40,41-60
2019-0072,CONDUCTOR,MASCULINO,22,19-25
2019-0073,CONDUCTOR,MASCULINO,29,26-40
2019-0074,CONDUCTOR,MASCULINO,35,26-40
2019-0075,CONDUCTOR,MASCULINO,31,26-40
2019-0076,CONDUCTOR,FEMENINO,29,26-40
2019-0077,PEATON,FEMENINO,28,26-40
2019-0078,PEATON,FEMENINO,72,61+
2019-0079,CONDUCTOR,MASCULINO,57,41-60
2019-0080,PEATON,MASCULINO,76,61+
2019-0081,PEATON,MASCULINO,67,61+
2019-0082,CICLISTA,MASCULINO,47,41-60
2019-0083,CONDUCTOR,MASCULINO,73,61+
2019-0084,CICLISTA,FEMENINO,40,41-60
2019-0085,CICLISTA,MASCULINO,20,19-25
2019-0086,CONDUCTOR,MASCULINO,29,26-40
2019-0087,CONDUCTOR,MASCULINO,41,41-60
2019-0088,PEATON,MASCULINO,27,26-40
2019-0089,PEATON,FEMENINO,92,61+
2019-0090,PEATON,MASCULINO,67,61+
2019-0091,PEATON,MASCULINO,35,26-40
2019-0092,PEATON,MASCULINO,37,26-40
2019-0093,CICLISTA,MASCULINO,16,0-18
2019-0094,PASAJERO_ACOMPAÑANTE,FEMENINO,19,19-25
2019-0095,CONDUCTOR,MASCULINO,5,0-18
2019-0096,PEATON,MASCULINO,73,61+
2019-0097,PASAJERO_ACOMPAÑANTE,FEMENINO,23,19-25
2019-0098,PASAJERO_ACOMPAÑANTE,FEMENINO,61,61+
2019-0100,CONDUCTOR,MASCULINO,38,26-40
2019-0101,CONDUCTOR,MASCULINO,25,26-40
2019-0102,CONDUCTOR,MASCULINO,18,19-25
2019-0103,CONDUCTOR,MASCULINO,24,19-25
2019-0104,PASAJERO_ACOMPAÑANTE,FEMENINO,23,19-25
2020-0001,PEATON,FEMENINO,87,61+
2020-0002,CONDUCTOR,MASCULINO,36,26-40
2020-0003,PEATON,MASCULINO,44,41-60
2020-0004,PEATON,MASCULINO,82,61+
2020-0005,CONDUCTOR,MASCULINO,25,26-40
2020-0006,CONDUCTOR,MASCULINO,23,19-25
2020-0007,PEATON,MASCULINO,52,41-60
2020-0008,CONDUCTOR,MASCULINO,49,41-60
2020-0009,PEATON,MASCULINO,48,41-60
2020-0010,CONDUCTOR,MASCULINO,61,61+
2020-0011,CONDUCTOR,MASCULINO,31,26-40
2020-0012,PEATON,FEMENINO,66,61+
2020-0013,PEATON,FEMENINO,58,41-60
2020-0014,CONDUCTOR,MASCULINO,15,0-18
2020-0015,CONDUCTOR,MASCULINO,29,26-40
2020-0016,PEATON,MASCULINO,68,61+
2020-0017,PEATON,MASCULINO,10,0-18
2020-0018,CONDUCTOR,MASCULINO,31,26-40
2020-0019,PEATON,FEMENINO,80,61+
2020-0020,PEATON,FEMENINO,74,61+
2020-0021,PEATON,FEMENINO,87,61+
2020-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,44,41-60
2020-0023,CONDUCTOR,MASCULINO,44,41-60
2020-0024,CONDUCTOR,MASCULINO,53,41-60
2020-0025,PEATON,MASCULINO,54,41-60
2020-0026,CONDUCTOR,MASCULINO,28,26-40
2020-0027,PEATON,MASCULINO,76,61+
2020-0028,PEATON,MASCULINO,91,61+
2020-0029,PEATON,MASCULINO,80,61+
2020-0030,CONDUCTOR,MASCULINO,40,41-60
2020-0031,CONDUCTOR,MASCULINO,29,26-40
2020-0032,CONDUCTOR,MASCULINO,21,19-25
2020-0033,CONDUCTOR,MASCULINO,32,26-40
2020-0034,PEATON,FEMENINO,3,0-18
2020-0035,CONDUCTOR,MASCULINO,40,41-60
2020-0036,PEATON,MASCULINO,72,61+
2020-0037,PEATON,MASCULINO,38,26-40
2020-0038,CONDUCTOR,MASCULINO,46,41-60
2020-0038,CONDUCTOR,MASCULINO,64,61+
2020-0039,PEATON,MASCULINO,44,41-60
2020-0040,CONDUCTOR,MASCULINO,61,61+
2020-0041,CONDUCTOR,MASCULINO,34,26-40
2020-0042,PEATON,FEMENINO,53,41-60
2020-0043,PEATON,MASCULINO,64,61+
2020-0044,CONDUCTOR,MASCULINO,43,41-60
2020-0045,CONDUCTOR,MASCULINO,50,41-60
2020-0046,CONDUCTOR,MASCULINO,41,41-60
2020-0047,PEATON,MASCULINO,15,0-18
2020-0048,CONDUCTOR,MASCULINO,41,41-60
2020-0049,PEATON,MASCULINO,36,26-40
2020-0050,PEATON,FEMENINO,28,26-40
2020-0051,CONDUCTOR,MASCULINO,49,41-60
2020-0052,CICLISTA,MASCULINO,44,41-60
2020-0053,PASAJERO_ACOMPAÑANTE,MASCULINO,27,26-40
2020-0054,CICLISTA,MASCULINO,59,41-60
2020-0055,PEATON,MASCULINO,91,61+
2020-0056,CONDUCTOR,FEMENINO,34,26-40
2020-0057,PEATON,MASCULINO,84,61+
2020-0058,PEATON,MASCULINO,57,41-60
2020-0059,PEATON,FEMENINO,49,41-60
2020-0060,PEATON,FEMENINO,69,61+
2020-0061,CONDUCTOR,MASCULINO,45,41-60
2020-0062,CICLISTA,MASCULINO,47,41-60
2020-0063,PEATON,MASCULINO,38,26-40
2020-0063,PASAJERO_ACOMPAÑANTE,MASCULINO,21,19-25
2020-0065,CONDUCTOR,MASCULINO,24,19-25
2020-0066,CONDUCTOR,MASCULINO,27,26-40
2020-0067,PEATON,MASCULINO,51,41-60
2020-0068,CONDUCTOR,MASCULINO,71,61+
2020-0069,PASAJERO_ACOMPAÑANTE,MASCULINO,25,26-40
2020-0070,PEATON,FEMENINO,81,61+
2020-0071,PEATON,MASCULINO,4,0-18
2020-0072,CICLISTA,MASCULINO,42,41-60
2020-0073,CONDUCTOR,MASCULINO,56,41-60
2020-0074,CONDUCTOR,MASCULINO,39,26-40
2020-0075,PEATON,MASCULINO,23,19-25
2020-0076,CONDUCTOR,FEMENINO,78,61+
2020-0077,CONDUCTOR,FEMENINO,30,26-40
2020-0077,PASAJERO_ACOMPAÑANTE,FEMENINO,24,19-25
2020-0078,CICLISTA,MASCULINO,26,26-40
2020-0079,CONDUCTOR,MASCULINO,28,26-40
2021-0001,CONDUCTOR,MASCULINO,36,26-40
2021-0002,CONDUCTOR,FEMENINO,47,41-60
2021-0003,CONDUCTOR,MASCULINO,27,26-40
2021-0004,PEATON,FEMENINO,61,61+
2021-0005,PEATON,MASCULINO,73,61+
2021-0006,PASAJERO_ACOMPAÑANTE,FEMENINO,23,19-25
2021-0007,CONDUCTOR,MASCULINO,84,61+
2021-0008,PEATON,MASCULINO,28,26-40
2021-0009,CONDUCTOR,MASCULINO,31,26-40
2021-0010,CONDUCTOR,MASCULINO,28,26-40
2021-0011,PEATON,MASCULINO,21,19-25
2021-0012,PEATON,MASCULINO,72,61+
2021-0013,CONDUCTOR,MASCULINO,41,41-60
2021-0014,PEATON,MASCULINO,28,26-40
2021-0015,CONDUCTOR,MASCULINO,26,26-40
2021-0016,CONDUCTOR,MASCULINO,22,19-25
2021-0017,CONDUCTOR,MASCULINO,33,26-40
2021-0018,PEATON,MASCULINO,36,26-40
2021-0019,CONDUCTOR,MASCULINO,30,26-40
2021-0020,PEATON,FEMENINO,45,41-60
2021-0021,CONDUCTOR,MASCULINO,39,26-40
2021-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,68,61+
2021-0023,CONDUCTOR,MASCULINO,24,19-25
2021-0024,CICLISTA,MASCULINO,5,0-18
2021-0025,CONDUCTOR,MASCULINO,37,26-40
2021-0026,CONDUCTOR,MASCULINO,36,26-40
2021-0027,CONDUCTOR,FEMENINO,19,19-25
2021-0028,PEATON,MASCULINO,9,0-18
2021-0029,CONDUCTOR,MASCULINO,26,26-40
2021-0030,PEATON,MASCULINO,36,26-40
2021-0031,PEATON,FEMENINO,68,61+
2021-0032,PEATON,MASCULINO,60,61+
2021-0033,CONDUCTOR,MASCULINO,33,26-40
2021-0034,PASAJERO_ACOMPAÑANTE,FEMENINO,26,26-40
2021-0035,CONDUCTOR,MASCULINO,24,19-25
2021-0036,CONDUCTOR,MASCULINO,36,26-40
2021-0037,PEATON,FEMENINO,58,41-60
2021-0038,CONDUCTOR,FEMENINO,44,41-60
2021-0039,CICLISTA,MASCULINO,86,61+
2021-0040,CONDUCTOR,MASCULINO,27,26-40
2021-0041,PEATON,MASCULINO,75,61+
2021-0042,PEATON,MASCULINO,39,26-40
2021-0043,PEATON,MASCULINO,50,41-60
2021-0044,PASAJERO_ACOMPAÑANTE,MASCULINO,21,19-25
2021-0045,CONDUCTOR,MASCULINO,22,19-25
2021-0046,PASAJERO_ACOMPAÑANTE,MASCULINO,20,19-25
2021-0047,CONDUCTOR,MASCULINO,59,41-60
2021-0048,CICLISTA,MASCULINO,44,41-60
2021-0049,CONDUCTOR,MASCULINO,74,61+
2021-0050,CONDUCTOR,MASCULINO,56,41-60
2021-0051,PEATON,MASCULINO,73,61+
2021-0052,PASAJERO_ACOMPAÑANTE,FEMENINO,19,19-25
2021-0053,PEATON,MASCULINO,58,41-60
2021-0054,CONDUCTOR,MASCULINO,41,41-60
2021-0055,PASAJERO_ACOMPAÑANTE,MASCULINO,47,41-60
2021-0056,CICLISTA,MASCULINO,60,61+
2021-0057,CONDUCTOR,MASCULINO,46,41-60
2021-0058,PEATON,MASCULINO,24,19-25
2021-0059,PASAJERO_ACOMPAÑANTE,FEMENINO,44,41-60
2021-0060,PEATON,FEMENINO,80,61+
2021-0061,PEATON,FEMENINO,55,41-60
2021-0062,CONDUCTOR,MASCULINO,73,61+
2021-0063,PASAJERO_ACOMPAÑANTE,FEMENINO,31,26-40
2021-0064,PEATON,MASCULINO,37,26-40
2021-0065,PEATON,FEMENINO,63,61+
2021-0066,PEATON,MASCULINO,59,41-60
2021-0067,CONDUCTOR,MASCULINO,27,26-40
2021-0068,CONDUCTOR,MASCULINO,39,26-40
2021-0069,PEATON,MASCULINO,17,0-18
2021-0070,CONDUCTOR,MASCULINO,31,26-40
2021-0071,PEATON,MASCULINO,88,61+
2021-0072,PEATON,FEMENINO,57,41-60
2021-0073,CICLISTA,FEMENINO,76,61+
2021-0074,CONDUCTOR,MASCULINO,55,41-60
2021-0075,PEATON,MASCULINO,65,61+
2021-0076,CONDUCTOR,MASCULINO,31,26-40
2021-0077,CONDUCTOR,FEMENINO,31,26-40
2021-0078,CONDUCTOR,MASCULINO,22,19-25
2021-0079,PEATON,MASCULINO,48,41-60
2021-0080,CONDUCTOR,MASCULINO,32,26-40
2021-0081,CONDUCTOR,MASCULINO,26,26-40
2021-0082,CONDUCTOR,MASCULINO,38,26-40
2021-0083,CONDUCTOR,MASCULINO,30,26-40
2021-0084,CONDUCTOR,MASCULINO,32,26-40
2021-0097,CICLISTA,MASCULINO,53,41-60
2021-0085,CONDUCTOR,MASCULINO,49,41-60
2021-0086,PEATON,MASCULINO,75,61+
2021-0087,PEATON,FEMENINO,73,61+
2021-0088,CONDUCTOR,MASCULINO,45,41-60
2021-0089,CONDUCTOR,MASCULINO,41,41-60
2021-0090,PEATON,MASCULINO,73,61+
2021-0091,CONDUCTOR,MASCULINO,24,19-25
2021-0092,PEATON,FEMENINO,50,41-60
2021-0093,PASAJERO_ACOMPAÑANTE,FEMENINO,18,19-25
2021-0094,PASAJERO_ACOMPAÑANTE,FEMENINO,43,41-60
2021-0095,CONDUCTOR,MASCULINO,27,26-40
2021-0096,CONDUCTOR,MASCULINO,60,61+
